date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:13	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e54515f-247b%22	https://universe-ity.github.io/robots.txt		(from )
15:01:13	6992/6992	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-1b50%22	https://universe-ity.github.io/	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/index.html	(from )
15:01:13	4118/4118	---M-Z	200	added ('OK')	text/css	etag:W/%225ea09068-1016%22	https://universe-ity.github.io/_static/pygments.css	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/pygments.css	(from https://universe-ity.github.io/)
15:01:13	18174/18174	---M-Z	200	added ('OK')	text/css	etag:W/%225ea09068-46fe%22	https://universe-ity.github.io/_static/theme.css	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/theme.css	(from https://universe-ity.github.io/)
15:01:13	2341/2341	---M-Z	200	added ('OK')	text/css	etag:W/%225ea09068-925%22	https://universe-ity.github.io/_static/romnnn_sphinx_press_theme.css	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/romnnn_sphinx_press_theme.css	(from https://universe-ity.github.io/)
15:01:14	1377/1377	---M-Z	200	added ('OK')	text/css	etag:W/%225ea09068-561%22	https://universe-ity.github.io/_static/copybutton.css	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/copybutton.css	(from https://universe-ity.github.io/)
15:01:14	3935/3935	---M-Z	200	added ('OK')	text/css	etag:W/%225ea09068-f5f%22	https://universe-ity.github.io/_static/gallery.css	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/gallery.css	(from https://universe-ity.github.io/)
15:01:14	350/350	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-15e%22	https://universe-ity.github.io/_static/documentation_options.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/documentation_options.js	(from https://universe-ity.github.io/)
15:01:14	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-15851%22	https://universe-ity.github.io/_static/jquery.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/jquery.js	(from https://universe-ity.github.io/)
15:01:14	12140/12140	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-2f6c%22	https://universe-ity.github.io/_static/underscore.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/underscore.js	(from https://universe-ity.github.io/)
15:01:15	9354/9354	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-248a%22	https://universe-ity.github.io/_static/doctools.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/doctools.js	(from https://universe-ity.github.io/)
15:01:15	10847/10847	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-2a5f%22	https://universe-ity.github.io/_static/language_data.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/language_data.js	(from https://universe-ity.github.io/)
15:01:15	10754/10754	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-2a02%22	https://universe-ity.github.io/_static/clipboard.min.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/clipboard.min.js	(from https://universe-ity.github.io/)
15:01:15	4844/4844	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-12ec%22	https://universe-ity.github.io/_static/copybutton.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/copybutton.js	(from https://universe-ity.github.io/)
15:01:16	17536/17536	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a89-4480%22	https://cdnjs.cloudflare.com/ajax/libs/require.js/2.3.4/require.min.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/cdnjs.cloudflare.com/ajax/libs/require.js/2.3.4/require.min.js	(from https://universe-ity.github.io/)
15:01:16	3137/3137	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b517a93-c41%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/latest.js?config=TeX-AMS-MML_HTMLorMML	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/latestdda6.js	(from https://universe-ity.github.io/)
15:01:16	114432/114432	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-1bf00%22	https://universe-ity.github.io/_static/theme-vendors.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/theme-vendors.js	(from https://universe-ity.github.io/)
15:01:16	5110/5110	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-13f6%22	https://universe-ity.github.io/_static/theme.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/theme.js	(from https://universe-ity.github.io/)
15:01:17	4845/4845	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-12ed%22	https://universe-ity.github.io/genindex.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/genindex.html	(from https://universe-ity.github.io/)
15:01:17	5740/5740	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-166c%22	https://universe-ity.github.io/search.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/search.html	(from https://universe-ity.github.io/)
15:01:17	6205/6205	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-183d%22	https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Intro_Page.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Intro_Page.html	(from https://universe-ity.github.io/)
15:01:17	13228/13228	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-33ac%22	https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html	(from https://universe-ity.github.io/)
15:01:17	10304/10304	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-2840%22	https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Oslo_Page.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Oslo_Page.html	(from https://universe-ity.github.io/)
15:01:18	10122/10122	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-278a%22	https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Activities_Page.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Activities_Page.html	(from https://universe-ity.github.io/)
15:01:18	6992/6992	---M-Z	200	added ('OK')	text/html	etag:W/%225ea09068-1b50%22	https://universe-ity.github.io/index.html	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/index-2.html	(from https://universe-ity.github.io/genindex.html)
15:01:19	16323/16323	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-3fc3%22	https://universe-ity.github.io/_static/searchtools.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/_static/searchtools.js	(from https://universe-ity.github.io/search.html)
15:01:19	5887/5887	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea09068-16ff%22	https://universe-ity.github.io/searchindex.js	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/universe-ity.github.io/searchindex.js	(from https://universe-ity.github.io/search.html)
15:01:20	185654/185654	---M--	200	added ('OK')	image/png	etag:%225818b864-3900a%22	https://www.rvcj.com/wp-content/uploads/2016/11/Spherical-Aberration.png	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/www.rvcj.com/wp-content/uploads/2016/11/Spherical-Aberration.png	(from https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html)
15:01:20	40213/40213	---M--	200	added ('OK')	image/jpeg	etag:%223ee143875717cd1:0%22	https://www.thorlabs.com/images/TabImages/Coma_Aberration.jpg	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/www.thorlabs.com/images/TabImages/Coma_Aberration.jpg	(from https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html)
15:01:20	5916/5916	---M--	200	added ('OK')	image/png	etag:67ebd30071904cd99f06b37066d341eb	https://upload.wikimedia.org/wikipedia/commons/e/e5/Lens6a.png	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/upload.wikimedia.org/wikipedia/commons/e/e5/Lens6a.png	(from https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html)
15:01:20	14208/14208	---M--	200	added ('OK')	image/jpeg	etag:%229a9c855d50e8d51:0%22	https://www.photonics.com/images/Web/Articles/2009/3/8/LensAberrations_Walker_NEW_Figure4.jpg	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/www.photonics.com/images/Web/Articles/2009/3/8/LensAberrations_Walker_NEW_Figure4.jpg	(from https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html)
15:01:21	27888/27888	---M-Z	200	added ('OK')	image/jpeg	date:Mon,%2027%20Apr%202020%2019:30:16%20GMT	https://www.swarovskioptik.com/is-bin/intershop.static/WFS/SOP-US-Site/SOP-Blog/en_US/blog/HunterArticleBlog/images/on_target_03_04.jpg	C:/Users/Anas/Documents/Aberrations%20with%20Oslo/Analysis%20of%20Optical%20Systems%20with%20OSLO/www.swarovskioptik.com/is-bin/intershop.static/WFS/SOP-US-Site/SOP-Blog/en_US/blog/HunterArticleBlog/images/on_target_03_04.jpg	(from https://universe-ity.github.io/Analysis_of_Optical_Systems_with_OSLO_Background_Page.html)
